AVERAGEPRICE,TOTAL VOLUME,4046,4225,4770,TOTAL BAGS,TYPE,REGION
1.94,6563.71,1.9303107541314288,13.842019223884053,0.0,84.22767002198451,0,24.0
1.19,126496.0,34.0888249430812,25.2932899064002,0.1367632178092588,40.481121932709335,1,39.0
0.65,776310.02,36.355733241727314,32.62015863198571,1.852476411421303,29.171631714865665,1,41.0
1.53,433455.08,54.364470708245015,10.95694160511396,0.028051349634661105,34.650536337006365,1,1.0
1.68,13175.0,0.7836812144212524,1.248045540796964,0.0,97.96827324478178,0,30.0
1.54,14499.51,3.5546718475313988,23.846598954033617,0.0,72.59872919843498,0,13.0
1.53,5481.72,11.004027932838598,0.8125186985106864,0.0,88.18345336865072,0,31.0
1.52,509094.85,2.573151152481704,67.53865807128084,2.153948326132154,27.734242450105324,1,4.0
1.33,120833.05,46.00250510932233,19.29849490681564,1.5732119647728828,33.12578801908915,1,10.0
1.86,5859.11,22.04191421564026,74.16757835234363,0.0,3.7905074320161254,0,40.0
2.17,15607.14,14.85493178122321,36.821800791176344,0.0,48.32326742760045,0,32.0
1.78,5882.19,0.8590337952361282,3.8245959413075745,0.0,95.31637026345629,0,5.0
2.4,14099.42,29.528448687960214,41.11594661340679,0.0,29.355604698632998,0,42.0
1.01,171879.57,49.750473543772536,21.7095260361659,8.29740265233384,20.242597767727716,1,10.0
0.92,6466429.64,50.645073902018055,17.350900302999356,0.2597450360567134,31.744280758925882,1,45.0
1.73,30519.41,14.141066291910626,63.65168920369037,0.0,22.207244504399004,0,36.0
1.89,3128.95,17.826107799741127,42.9022515540357,11.884178398504291,27.387462247718886,0,44.0
1.22,616016.46,20.629323768394112,62.49161426628114,5.530689877994495,11.348372087330263,1,42.0
1.16,461913.85,68.04821288645057,8.414341765244753,0.1440376814854112,23.393407666819257,1,31.0
2.01,4203.2,6.529073087171679,33.33840883136658,24.409021697754092,35.723496383707655,0,7.0
1.48,5070.79,15.255413850701766,50.2507498831543,0.0,34.49383626614394,0,10.0
1.5,86880.78,30.242557675011668,46.4942418795043,0.0378564741246568,23.225343971359376,1,5.0
2.09,12422.6,26.342231094939866,64.63373206897106,5.6991290068101685,3.324907829278895,0,28.0
0.84,4740050.22,49.05806651981,20.97564569685087,0.27939366431438356,29.686894119024753,1,46.0
0.91,43226.49,21.084918067601606,0.1597631452380242,0.0,78.75531878716039,0,18.0
1.08,3431698.41,48.76026853420374,14.498655200880545,0.29657909245002684,36.44449717246568,1,46.0
1.22,45355.38,55.34840629711404,43.7655466672311,0.0,0.8860470356548661,0,40.0
1.09,339890.13,36.192207170005204,16.984541445790143,3.208557424129968,43.61469396007469,1,13.0
0.95,716900.4,21.05164259916719,29.103625831426516,2.8488615712866108,46.99586999811968,1,12.0
1.57,43715.52,22.21950007686058,58.16506357467554,0.14425082899620092,19.47118551946769,1,49.0
2.0,11538.53,10.560877338794455,33.95675185660565,0.134332536293618,55.348038268306276,0,32.0
1.43,5902.81,2.325333188769416,43.160460865248915,5.595978864303611,48.91822708167805,0,37.0
1.5,114052.94,1.1584006514869323,47.352992391077336,0.06534684682393982,51.42326011061179,1,5.0
1.24,311879.23,0.6286920741724289,81.30158587348059,0.025529112663257508,18.044192939683736,1,30.0
1.15,802874.94,3.891009476519469,69.56099414436825,16.67116051722825,9.876835861884045,1,8.0
1.92,22165.79,0.08797340406094256,6.356236344384748,0.0,93.55579025155431,0,4.0
1.0,2566690.28,65.16656150659519,20.880283226069647,2.6891768180148325,11.263978449320346,1,22.0
1.17,373372.96,1.3808311132118403,84.52886090090722,0.07453940960266645,14.015768576278258,1,17.0
1.96,7490.34,22.046929778888543,74.2507015702892,0.0,3.702368650822259,0,40.0
1.16,262288.53,29.4452563366,23.1428419687281,16.599036946068512,30.812864748603374,1,37.0
1.43,11438.37,9.57715128991281,0.23132666629948148,0.0,90.19152204378771,0,34.0
1.46,8676.42,5.500540545524537,21.988907867530617,0.0,72.51055158694484,0,10.0
1.77,14776.98,0.03173855550998919,4.223393413268476,0.0,95.74486803122154,0,4.0
1.47,305796.3,59.497041004093255,12.54909559075764,0.010464482402174258,27.943398922746944,1,31.0
2.08,16567.2,25.115106958327292,58.94514462311072,0.5162006856922111,15.423547732869766,0,28.0
1.36,150749.34,40.95864034960285,18.886835590789318,1.357398977667166,38.797125081940656,1,10.0
0.88,6612422.28,47.16405362423405,38.67374997714151,1.3194987601427053,12.842697638481734,1,52.0
1.91,3850.51,10.626903968565202,34.483484006014784,12.525613490161044,42.363998535258965,0,44.0
1.47,1151.64,31.429092424716053,2.6813934910214994,0.0,65.88951408426243,0,34.0
1.39,66454.5,67.16267521386814,8.374496836181146,0.04675379394924346,24.416074156001475,0,45.0
1.73,5749.75,0.9854341493108395,36.8233401452237,14.877168572546632,47.314057132918826,0,37.0
0.98,185316.35,70.84451533823109,6.018767367261443,4.152488433967106,18.984228860540366,1,26.0
1.93,624618.47,13.976238967125004,53.90625256406523,18.50263729793325,13.614871170876519,1,8.0
1.32,2136.97,0.22742481176619236,66.61066837625236,0.0,33.16190681198145,0,23.0
1.6,9666.61,50.93616066025215,47.40793308098702,0.0,1.655906258760827,0,40.0
1.18,597168.12,0.7904105798547987,79.98246791874958,0.8493035428615983,18.377817958534024,1,4.0
1.24,89262.56,32.12949527775139,7.7827030728224695,0.003125610558334872,60.08467603886781,0,45.0
1.15,9173.77,4.200236107946896,56.90692049179344,0.0,38.89284340025965,0,26.0
2.11,8485.97,0.2477029732605701,43.17114012894224,1.858479348854639,54.722677548942556,0,7.0
0.72,7281887.35,50.35683997501005,18.773715855409385,9.58313533921944,21.28630883036113,1,45.0
1.55,3021.45,0.6682222111899916,4.090420162504758,0.0,95.24135762630526,0,5.0
2.23,25593.44,4.91137572753018,87.33823979894849,0.0,7.750384473521339,0,42.0
1.48,3514.92,0.0,44.670717967976515,0.0,55.329282032023485,0,23.0
1.33,2200251.0,22.1841053588886,41.04536255181795,0.697647677469525,36.07288441182392,1,25.0
0.82,858037.45,10.621462967612896,31.584291571422668,1.3360430829679988,56.45820237799645,1,43.0
1.66,37079.86,26.13478044415486,59.76244246876876,0.1568776149640263,13.945899472112352,0,43.0
1.32,10186.67,8.523491975297128,48.0914764098572,0.0,43.38503161484567,0,10.0
1.12,168251.29,0.9110777100133973,42.9401878582922,0.5092442381868216,55.63949019350758,1,5.0
1.72,6991.24,72.44880736464489,16.599773430750485,0.0,10.951419204604619,0,33.0
0.72,6680323.25,46.83197942554651,23.04512390175131,8.04973202456932,22.07316464813286,1,45.0
1.49,2672.71,12.457767584212277,20.095333949437087,0.0,67.44689846635063,0,34.0
1.79,9086.18,3.617912037842085,1.6113482233457845,0.2321107440090335,94.5386289948031,0,16.0
1.51,3607.37,0.0,4.283453041966863,0.0,95.71654695803313,0,5.0
1.25,340513.61,72.55568140139832,10.237825736245904,0.0244542354709405,17.18203862688484,1,24.0
1.11,770557.34,4.674229694574061,66.7833519047395,15.93754982594806,12.604868574738385,1,8.0
0.92,4804278.16,33.349766950213386,39.904527926001684,4.488336287339366,22.257368836445554,1,6.0
1.9,6433.37,0.3848682727715024,8.853680108558967,0.0,90.76145161866954,0,30.0
1.77,3870633.16,33.28309934698125,41.56589073401107,3.1107388642327445,22.040271054774923,1,6.0
0.98,30093540.7,29.9399668514247,33.120795320704815,1.3393170780997532,35.59992074977074,1,51.0
1.56,148060.59,2.1115544656413974,49.43405264020629,0.0,48.45439289415232,0,15.0
1.72,2091.42,45.102848782167136,0.279714261124021,0.0,54.61743695670883,0,50.0
1.03,2879218.13,36.49629943112369,21.026867804559153,2.5640863827152964,39.91274638160187,1,22.0
0.99,166083.52,38.94009471860905,14.740228289959173,0.04317707139155047,46.27649992004023,1,48.0
1.56,16106.89,3.6099458058011202,40.879462143219456,3.149707982112003,52.36088406886742,0,2.0
0.73,50686.37,37.052998666110824,5.938894420728886,0.5341672721877696,56.47393964097252,0,12.0
1.78,5157.67,40.26003990173857,40.82133986858407,0.0,18.918620229677355,0,1.0
1.68,1176751.31,6.432522263348914,63.54730465522065,0.05376072196596918,29.966412359464467,1,28.0
0.95,263987.21,0.5133582039826854,68.97823572588989,10.021099128249432,20.48730694187798,1,14.0
1.71,149479.58,1.2646342731227904,48.11116675602112,17.087745362945228,33.536453607910865,1,14.0
1.53,156787.69,1.3931323307333632,42.7334824564352,0.03398225970418979,55.83940295312725,1,5.0
1.12,501274.14,49.71421027224744,9.245124833289823,0.02990180183641629,41.01076309262632,1,1.0
1.39,22300.6,4.979552119673911,59.929598306772014,0.007443745908181842,35.0834058276459,0,36.0
1.23,17104.45,9.720862114829766,28.7911625337266,0.0,61.48797535144362,0,21.0
1.09,4891516.5,2.089572426056418,71.36904557104121,1.5845848623836798,24.956797140518695,1,29.0
1.83,1642.66,0.8449709617327992,7.815981396028391,0.0,91.33904764223881,0,5.0
1.05,5550586.51,51.91751673103822,21.35742732527918,0.30091486674261386,26.424141076939993,1,45.0
1.06,81397.07,64.8551723053422,18.974565054982936,7.218748782972163,8.951513856702704,1,3.0
1.35,11494.89,41.38456305366993,0.8140138792106754,0.0,57.801423067119394,0,18.0
2.03,4159.55,13.1235349977762,0.8698056280126456,0.0,86.00665937421115,0,24.0
1.16,340176.41,39.251966354751055,15.044620524979969,6.802170673739546,38.90124244652944,1,13.0
1.61,366233.17,5.005619780425679,53.36182956885091,0.24521263325219833,41.38733801747122,1,32.0
2.0,4610.66,2.330468956722031,6.3782625480950665,0.27870196457773944,91.01256653060517,0,16.0
1.51,130290.41,3.7030277209197515,45.87616233612282,0.0,50.420809942957426,0,15.0
2.0,3382.0,55.517445298639856,4.029863985807214,0.0,40.452690715552926,0,31.0
0.94,598755.26,23.21398395731839,60.08858611112661,2.714347762055568,13.98308216949944,1,36.0
1.36,132760.1,1.3727091196827963,49.911019952530914,0.12199448478872794,48.594276442997554,1,5.0
1.15,780951.86,4.1506028297314,66.94268453371761,17.039101488278675,11.867611148272315,1,8.0
1.21,691008.74,8.374147337123405,70.49254109289559,1.2665454853725875,19.86676608460842,1,2.0
1.42,1978.61,19.12655854362406,7.563390460980184,1.5965753736208752,71.71347562177489,0,34.0
1.54,67309.14,13.679642913280423,22.80406494571168,0.6415770577368839,62.874715083271006,0,46.0
1.84,4518.71,7.017489504748037,65.1349610840262,0.16487006247358207,27.68267934875219,0,10.0
1.23,54996.69,8.523967533318823,9.948671456409466,0.06971328638141679,81.45764772389029,0,36.0
1.37,22036.49,47.38939822086003,10.058816081871477,0.026319981085917037,42.52546571618257,0,12.0
1.04,3746598.18,14.49719702794496,57.290277656623424,12.058908329475567,16.15361698595604,1,15.0
1.49,22368.16,11.948546505389805,50.41004713843248,1.3102105850458865,36.331195771131824,0,2.0
1.54,2500.35,25.439638450616915,0.0,0.0,74.56036154938309,0,27.0
1.87,2933.95,22.584570289200567,62.155796792719705,0.6336167964689242,14.6260161216108,0,32.0
1.31,2223310.81,36.03745937798053,29.90694899738287,1.2653282606042833,32.790263364032306,1,35.0
1.91,6840.51,2.5698376290656686,2.3017289646532197,0.36400794677589826,94.7644254595052,0,16.0
1.41,33582.24,28.013408277708695,0.2604055000500265,0.0,71.72618622224128,0,18.0
0.99,362400.65,30.456410605223798,29.025372884954812,20.13263221244222,20.385584297379157,1,13.0
0.78,608386.28,51.483136667710525,10.119174613865388,0.1930977141693596,38.20459100425473,1,1.0
1.27,67448.86,26.645268726558164,27.838380070471164,1.656514283562391,43.859836919408274,1,34.0
1.5,244786.18,3.0398448147685464,73.45269655337569,0.061935686075088064,23.445522945780684,1,17.0
0.97,820850.36,19.740551737103463,23.72199239822469,2.844924134528003,53.692531730143855,1,36.0
1.86,7334.65,33.59792219124294,37.98327118540081,0.0,28.418806623356264,0,40.0
1.86,4968.49,3.8601265173121004,22.520725612811944,0.0,73.61914786987597,0,31.0
1.23,2180512.1,21.169860052599567,40.07248022150393,1.55835044437497,37.19930928152152,1,25.0
1.41,1491.19,0.5009422005244134,6.683252972458238,0.0,92.81580482701735,0,49.0
0.99,502774.82,23.78498191297647,11.150924384001568,8.69569402859117,56.36839967443079,1,13.0
1.37,850692.3,7.263400644392807,61.490536590022025,6.363039844136358,24.8830229214488,1,2.0
2.11,1181.37,3.2089861770656105,73.92518855227407,0.0,22.865825270660338,0,14.0
1.05,332735.24,44.46106760438119,30.26705256708006,1.8878643572589429,23.38401547127981,1,21.0
1.63,781085.77,7.957041644735123,68.99368426594175,13.296686995078657,9.752587094244465,1,8.0
1.48,9468.77,89.12625399075064,3.964400867272095,0.0,6.909345141977258,0,41.0
1.14,1458722.6,1.492302923119173,81.18506630390178,0.09122022240554853,17.231410550573496,1,28.0
1.15,352660.2,43.83753823085224,21.54109253043014,0.8867232537156162,33.73464598500199,1,44.0
1.01,527700.95,44.30558254632667,13.441546770002974,0.025042592779110976,42.22782809089126,1,1.0
2.24,10247.33,1.9760269260382948,64.16071308331048,5.184667615857008,28.678592374794214,0,37.0
1.24,277479.27,13.900674453987138,50.866113349656715,0.21369524289147795,35.01951695346467,1,16.0
1.82,436710.91,7.87354270586004,60.68244322084831,16.72085774087943,14.723156332412213,1,8.0
1.99,10827.99,1.3731080283598343,52.78301882436168,2.051257897356758,43.79261524992173,0,37.0
1.54,8077.28,0.8823514846582017,33.15150644771507,0.0,65.96614206762673,0,26.0
1.25,257172.84,67.3086862516275,7.7704006379522825,0.02448158989106315,24.896431520529152,1,50.0
1.35,2933076.38,20.698539735947826,45.17996595779071,1.0485066195241735,33.0729876867373,1,25.0
1.67,135522.65,37.16568411258192,55.02516369034992,0.013768916118449574,7.795383280949716,0,6.0
1.79,455915.26,1.5928464425604003,70.12657132818936,0.33659105861032157,27.943991170639908,1,4.0
1.92,8091.22,0.06018869836687175,10.482720776347694,0.0,89.45709052528544,0,30.0
1.33,153920.35,1.375860956657128,42.08056309643267,0.07308325377378624,56.47049269313642,1,5.0
1.28,78298.97,37.14432003383952,8.371067971903079,0.2668234333095314,54.21778856094787,0,45.0
1.82,24904.99,0.05171654355211546,6.17811932468152,0.0,93.77016413176636,0,4.0
1.06,177609.17,44.23549189492862,12.18429206104617,0.13144591577112827,43.44877012825407,1,26.0
1.15,3443333.94,17.244305964701176,44.13185872991453,8.2844663041889,30.339369001195394,1,15.0
1.72,5073.77,6.409829377366337,51.3009064265822,13.07035990988949,29.218904286161962,0,7.0
0.58,542750.89,64.18201359375017,10.296985418116957,0.10437569250231907,25.416625295630556,1,27.0
1.93,5864.06,25.467679389365045,1.2666991811134265,0.0,73.26562142952152,0,50.0
1.55,2954.83,10.751210729551278,1.482995637650897,0.0,87.76579363279782,0,27.0
1.6,511347.26,21.412882900751242,44.04372871774066,0.7039658333164824,33.839422548191614,0,51.0
1.52,991.33,0.9583085349984364,4.107613004751193,0.0,94.93407846025038,0,24.0
0.99,670051.41,60.74840436497253,6.07119534305584,1.7345877982705833,31.44581249370104,1,53.0
0.62,6847218.72,52.783508133649924,19.927673202762833,0.3227221285549938,26.966096535032257,1,46.0
1.32,12435.43,11.377571985850105,42.348837153198566,0.0,46.27359086095132,0,41.0
2.48,10482.69,0.8810715570144685,44.6648713259669,1.9150618782011106,52.538995238817506,0,7.0
1.09,730358.49,1.032850319847723,82.92159922725071,1.2734403895270665,14.772110063374495,1,4.0
1.71,2896732.11,57.389654509681264,11.164393796843024,0.122335786169747,31.323615907305975,1,46.0
2.73,24852.33,42.814617381951706,44.177628415524815,0.03520796641602618,12.972546236107437,0,42.0
0.92,6675892.1,47.32073875190403,18.56580845577178,0.38139801570489734,33.7320547766193,1,45.0
1.42,245721.9,1.351902292795229,76.08388995852629,0.9565488464805131,21.607658902197972,1,17.0
1.43,5788.14,19.067437898875976,68.65590673342386,0.03144360710003559,12.245211760600123,0,47.0
1.9,929.61,2.9055195189380494,3.2841729327352334,0.0,93.81030754832672,0,0.0
1.31,3077843.09,56.275457499037095,8.999917211504114,0.4623442321096362,34.262281057349156,1,46.0
2.07,2016.06,54.37586182950904,2.733053579754571,0.3987976548317014,42.49228693590468,0,20.0
1.24,274937.38,32.600903522103835,18.499892593724436,2.983352063659005,45.91585182051273,1,13.0
0.99,305399.4,29.388846212533487,38.11853264937652,4.630745836435827,27.86187530165416,1,38.0
1.62,67201.29,11.746991761616481,52.409737967827695,6.518104042347997,29.32516622820782,0,25.0
0.8,224519.56,50.48773924196182,15.377898477976707,0.12492452773379746,34.009437752327685,1,20.0
1.78,70097.22,1.7557329663002326,31.031801261162713,0.22279057571755342,66.9896751968195,0,46.0
1.23,71906.75,3.4084004630997784,62.02590160172723,1.7962986784968031,32.76939925667618,1,34.0
1.86,269770.44,5.336300003810647,60.388591870925524,0.5433360304412892,33.731772094822546,1,32.0
1.92,2087.6,5.281184134891742,8.744970300823914,0.0,85.97384556428435,0,0.0
1.54,2962.13,8.06480471822641,68.14218147076598,0.0,23.79301381100762,0,26.0
1.57,45452.47,19.782137252386942,41.54632300510841,0.027545257716467333,38.64399448478818,1,49.0
1.66,4600.84,18.351648829344207,35.07033498230758,7.024369462967632,39.55364672538058,0,44.0
0.94,5572582.45,54.447009213834065,32.83699014628307,1.5402402884142163,11.175760351468643,1,52.0
1.71,11521.01,4.825965779041941,35.40123652353396,1.7528845127293524,58.01991318469474,0,38.0
1.43,98734.76,9.59289312092317,17.997187616600275,0.19834959845954964,72.211569664017,0,46.0
1.52,4830.76,9.665352863731586,53.222888323990425,10.984399970191024,26.127358842086963,0,44.0
1.21,10823.6,0.7114084038582357,39.59930152629439,0.0,59.68929006984737,0,39.0
1.52,94419.17,69.30935741121215,23.146930861603636,0.0,7.543711727184214,0,6.0
1.55,421235.13,52.864515359865635,10.698528396717528,0.08709862351698919,36.349857619899836,1,1.0
1.33,2839.61,0.0,13.539183197692639,0.0,86.46081680230736,0,3.0
1.09,477875.71,5.486617011774881,70.41776406672773,0.28332471637865836,23.812294205118732,1,32.0
2.93,3047.66,5.9649042215995225,39.20745752478951,0.0,54.827638253610964,0,47.0
1.8,6098.89,0.23643646630780354,15.157676232888278,0.0,84.60588730080391,0,48.0
1.7,10629.43,3.3336688797047445,23.424492188198236,2.7277097643053296,70.51412916779168,0,44.0
0.95,433874.46,58.98787405001899,20.984715256113486,0.1382220101178576,19.889188683749673,1,1.0
1.26,153211.68,10.877897820844991,44.17978446551856,1.7670454367447705,43.17527227689168,1,19.0
1.78,20398.64,3.8585905727048475,95.07923077224756,0.0,1.0621786550475913,0,8.0
1.59,68447.26,1.584577673379475,59.768265376875576,0.008765873170087453,38.63839107657487,1,49.0
1.15,2610004.41,14.979791164414163,51.012190818482175,9.081606494297072,24.92641152280658,1,15.0
1.86,3619.27,1.226214126053044,25.308142249680188,0.0,73.46564362426678,0,4.0
1.6,2466210.08,20.04270171501367,46.66998441592616,0.7926842955730681,32.4946295734871,1,25.0
1.33,32817254.13,33.37483324050427,33.98916388864859,1.9043744718077669,30.73162839903937,1,51.0
1.27,286847.49,26.131858431112647,39.0492243805236,3.0721830614588956,31.74673412690486,1,37.0
1.06,1966712.28,62.480717311634415,21.046868126536538,0.5808800868421892,15.891534474986853,1,35.0
1.77,87442.77,7.861530461580757,20.92240444807501,1.4583481287246503,69.7577169616196,0,29.0
1.5,1541.99,0.5616119430087095,0.0,0.0,99.43838805699129,0,50.0
0.95,281438.76,43.58725145036881,3.896680755699748,0.030805991328273337,52.48526180260317,1,26.0
1.34,3467770.71,2.8227852469519243,69.48122991672653,0.17889591091217216,27.51708892540938,1,29.0
1.89,7344.32,36.38635026796218,42.36661801228705,0.0,21.247031719750776,0,40.0
2.3,3485.39,1.3286891854283165,81.90934156579321,0.07488401584901545,16.68708523292946,0,17.0
1.19,448135.88,38.86575205716623,41.30407054217573,3.9131256350194494,15.917051765638584,1,36.0
1.44,57606.91,18.557773711521758,21.39097549234979,0.7221355910254516,59.32911520510299,0,46.0
2.81,3197.36,23.089673981034352,2.1777341306577926,0.0,74.73259188830784,0,24.0
0.77,110492.2,19.64497946461379,25.237048407036877,0.038536656886187445,55.07943547146314,1,47.0
1.49,8216.98,58.26082088553215,1.0429622562060514,0.0,40.6962168582618,0,18.0
0.78,226525.29,44.26613911409185,19.09758950093387,0.8778401740485575,35.758431210925714,1,10.0
0.97,605846.78,0.6169909824394874,87.72838406436689,2.7932772045103547,8.861347748683256,1,30.0
1.64,41864.22,37.67737700594923,18.292231409064826,1.3512493484889962,42.67914223649694,0,46.0
1.79,2309.83,3.0703558270522078,65.39312416931116,0.0,31.536520003636635,0,19.0
1.47,3834.42,10.253180402772779,75.62812628767846,0.0,14.118693309548771,0,10.0
1.73,2400.5,31.272234951051864,3.7742137054780254,0.24494896896479898,64.7086023745053,0,20.0
1.56,832767.55,12.78538410868675,29.066437567121817,0.3504315219775314,57.79774680221389,0,51.0
1.06,250434.52,34.98404293465613,34.18898880234242,2.0315529983646026,28.79541526463684,1,38.0
1.04,124246.77,39.245720432008014,33.44519137197691,0.08872665261237776,27.220361543402692,1,39.0
1.63,4110.96,53.10851966450658,3.9990659116118863,0.2422791756669975,42.650135248214525,0,20.0
1.34,78708.38,1.1423561252308838,57.03482907410875,0.03125461354940859,41.791560187110946,1,49.0
1.79,3933.81,14.984201067158812,65.62696215628105,0.0,19.38883677656013,0,10.0
0.92,333093.29,33.99900670469826,23.111501285420673,0.03550056502188922,42.85399144485918,1,31.0
1.24,42857.03,57.19871395661341,7.939070906220053,0.2267539304520169,34.63546120671451,0,12.0
0.77,42520.88,0.6997032987087756,13.83437972120991,0.0,85.46591698008132,0,9.0
0.87,580190.82,27.047030837199394,37.34563569964792,2.4938846843526417,33.113448778800056,1,41.0
1.1,274985.46,25.957394256409046,26.45111854277677,13.61660721988719,33.974879980926985,1,37.0
1.89,20251.16,8.99049733447368,44.45335477078844,2.108866850096488,44.44728104464139,0,2.0
1.32,186936.02,51.638464325922854,20.08873945213983,0.01995335088443629,28.252842871052884,1,48.0
1.2,480734.81,47.11542315814409,18.64696879346016,0.040354889216364424,34.19725315917938,1,24.0
1.33,8892.2,1.6053395110321402,71.66966554958277,0.0,26.724994939385077,0,39.0
1.16,223089.05,35.42024586146205,14.244970786329498,3.2084452374511434,47.12633811475732,1,21.0
1.17,193936.8,55.91873228804436,7.1927555781058565,0.13637948032554936,36.75213265352424,1,20.0
1.43,539847.3,64.82216360070709,12.33110362874835,0.023688179972373664,22.823044590572184,1,24.0
1.26,107225.04,32.356033627966,28.297905041583572,1.2620373002425553,38.08402403020787,1,34.0
1.95,23502.62,60.65706716953259,39.26247371569638,0.0,0.08045911477103404,0,42.0
0.88,295706.69,0.5659019753661982,71.4685352570143,2.1884929285840644,25.777069839035434,1,14.0
1.29,315955.99,34.99518081616367,49.631219208725874,0.41344365713718545,14.960156317973272,1,40.0
1.33,11792.51,78.45810603510193,3.6826765463841027,0.0,17.859217418513957,0,11.0
0.96,257403.43,67.05821674559658,3.7533338230962965,0.10178574543470535,29.08666368587241,1,27.0
1.03,329626.92,49.49738025037519,18.611398607856422,0.04828792502748258,31.842933216740914,1,31.0
0.79,5831782.44,68.23698176230319,20.615827877145566,0.5708757201168843,10.576314640434358,1,45.0
1.06,314717.03,1.4547194983379195,84.28272534219073,0.007276377767037264,14.255278781704314,1,30.0
1.85,7576.11,22.537027577477097,70.15051259815394,0.0,7.312459824368971,0,41.0
1.59,63283.62,3.664913606396094,13.7509674699393,0.16231688389507426,82.42180203976953,0,2.0
1.15,173445.42,0.836672424097448,45.5030752613704,0.14898058420914198,53.51127173032301,1,5.0
1.43,14898.15,40.609740135520184,29.273500401056506,5.00196333101761,25.114796132405704,0,2.0
1.49,154354.18,4.569983138778619,44.22031849088894,0.5186837181863168,50.69101465214613,1,19.0
1.57,4529.02,7.394535683216236,52.21217835204966,1.503857346622448,38.88942861811164,0,26.0
1.85,3388.83,3.5380942685233547,4.591260110421591,0.379186917018558,91.49145870403649,0,16.0
1.67,2010.73,40.927921700079075,46.80439442391569,0.0,12.267683876005231,0,14.0
0.67,13534.67,2.1040778977248795,17.071343446127614,0.0,80.82457865614751,0,26.0
1.26,107231.19,37.73154993430549,27.302177659317216,0.16023323064865735,34.80603917572863,1,39.0
1.33,91579.18,35.48179837382252,26.98329467461928,1.3235541091326652,36.21135284242554,1,34.0
0.8,233320.58,28.22511413266674,4.558882032609382,0.004701685552127464,67.21130214917174,1,48.0
1.5,309815.95,67.74626354776117,13.1425286528986,0.0443166337949999,19.06689116554522,1,50.0
1.06,32027686.15,45.635334134183154,34.35571701454306,3.0084893597597593,17.00045949151403,1,51.0
1.08,381549.32,50.81335225548299,15.225635836541393,2.3242499816275393,31.63676192634808,1,44.0
1.27,87503.46,26.621118753475574,27.637592844900073,1.1369721837285063,44.60431621789584,1,34.0
1.34,8764.33,1.6483861287742474,78.9763735505167,0.0,19.375240320709057,0,9.0
0.98,403741.62,24.392553336463056,61.76300080234483,3.419340319682672,10.425105541509442,1,40.0
1.45,115506.15,23.89387058611165,32.41987547849184,0.07919924610074876,43.60705468929577,1,39.0
2.27,4734.25,4.193483656334161,22.11036595025611,0.0,73.69615039340974,0,31.0
1.36,131180.81,0.9778107026477425,47.107675276589625,0.038542222753465236,51.87597179800918,1,5.0
1.07,431615.62,0.6935360680412817,75.74034507833613,9.07942117572112,14.48669767790146,1,30.0
